female,age,race,obs,wage,emp,grad,length,first,wage_sd,emp_sd,grad_sd,length_sd,first_sd,coll,prog
0,0,1,93,57655.211,62.919998,45.73,13.14,13.6,21279.436,14.075895,7.9323092,2.8237362,6.1772532,College 1,Business
0,1,1,150,68383.406,74.980003,50.75,15.05,14.06,22452.725,16.701456,13.175487,2.3675692,7.512764,College 1,Business
1,0,1,81,64436.629,73.150002,48.919998,14.92,15.25,23470.424,16.426828,11.884316,2.1311269,6.7690191,College 1,Business
1,1,1,162,70999.547,82.379997,56.849998,15.26,14.96,20919.26,16.407169,15.512796,2.2847853,7.4354215,College 1,Business
0,0,2,32,61879.699,65,46,12.92,13.46,16934.785,13.400055,8.5779066,2.6996908,6.6852036,College 1,Business
0,1,2,54,66479.977,77.18,55.52,15.1,15.39,21759.572,19.083204,13.950684,2.0690925,7.2106481,College 1,Business
1,0,2,30,54258.121,68.25,48.459999,14.63,14.66,21560.125,16.19397,9.7408905,2.3057153,7.0439196,College 1,Business
1,1,2,59,72690.422,82,54.959999,15.57,14.61,20775.732,16.092113,13.584542,1.5719776,7.617589,College 1,Business
0,0,3,42,60445.609,67.550003,46.040001,14.25,14.6,19253.563,16.629768,8.1454382,2.228647,6.5247526,College 1,Business
0,1,3,57,66285.5,79.940002,53.080002,15.21,15.51,21094.799,12.842634,12.605737,2.1030614,7.3032007,College 1,Business
1,0,3,25,61433.41,75.82,47.880001,14.24,15.02,16769.188,20.875032,11.349468,3.0777071,7.8335962,College 1,Business
1,1,3,61,75820.992,83.510002,59.84,15.12,15.37,17150.258,14.284483,14.231332,2.418412,7.4931431,College 1,Business
0,0,4,25,49939.301,66.089996,52.860001,14.43,15.01,14909.593,20.484203,7.1695008,1.8084584,6.2146039,College 1,Business
0,1,4,36,68233.648,83,53.830002,15,13.56,16370.961,15.875906,13.601371,1.9163933,8.2650671,College 1,Business
1,0,4,25,65026.301,78.93,48.709999,14.84,14.93,22300.816,13.030154,14.487158,2.1298263,7.1747389,College 1,Business
1,1,4,27,77387.578,81.550003,53.580002,15.61,14.83,21978.328,15.389934,15.623221,1.1463906,8.1031466,College 1,Business
0,0,0,187,65756.383,71.150002,48,14.52,14.3,19622.918,15.022857,9.6949673,2.3294821,6.8046265,College 1,Education
0,1,0,335,73238.219,81.489998,56.130001,15.2,14.94,21359.25,16.084965,14.30827,2.1026454,7.4978414,College 1,Education
1,0,0,169,71791.297,79.220001,55.849998,15.01,15.13,19634.457,17.396601,13.088345,2.5389574,7.0309157,College 1,Education
1,1,0,287,76350.797,84.199997,61.330002,15.32,14.81,20101.885,16.896805,16.132614,2.124135,7.7606044,College 1,Education
0,0,1,88,59179.391,66.040001,45.09,13.47,15.03,22396.604,15.00969,8.0718203,2.698878,6.3897991,College 1,Education
0,1,1,154,65536.453,76.739998,51.970001,15.3,14.45,19641.684,16.405725,12.701518,1.651515,7.2208385,College 1,Education
1,0,1,87,67464.617,73.32,49.049999,14.59,14.56,21346.488,16.830969,10.447803,2.7868993,7.3988352,College 1,Education
1,1,1,161,73241.148,81.910004,56.950001,15.25,15.73,20226.742,16.382067,15.489072,2.1224153,6.7692728,College 1,Education
0,0,2,30,60601.289,65.599998,43.25,14.19,13.86,22588.99,14.580872,8.0390759,2.4608824,6.6423025,College 1,Education
0,1,2,71,67105.172,77.209999,52.91,14.9,15.42,19936.658,15.55596,13.724234,2.3453045,6.9613142,College 1,Education
1,0,2,34,61616.52,72.339996,51.040001,13.9,13.99,18172.045,19.797421,10.48714,2.8707075,6.8942342,College 1,Education
1,1,2,51,72377.023,81.599998,60.919998,14.94,13.38,22162.65,16.414391,14.166503,2.8169627,8.3321428,College 1,Education
0,0,3,37,59755.48,65.360001,46.66,13.7,13.72,25859.74,14.375101,8.7336197,2.4590738,6.6627698,College 1,Education
0,1,3,57,68059.242,73.129997,53.720001,15,16.280001,20918.75,16.119576,12.126864,1.9777256,6.2136636,College 1,Education
1,0,3,35,67032.289,75.400002,50.110001,15.16,15.42,22099.111,16.674994,12.112044,1.5918798,6.1756372,College 1,Education
1,1,3,63,76631.547,82.18,60.040001,15.41,14.41,19818.064,17.115431,13.873687,1.6988697,7.5785236,College 1,Education
0,0,4,25,59272.199,66.139999,44.970001,13.63,16.27,21172.508,15.966158,10.445102,2.4985185,6.265305,College 1,Education
0,1,4,26,69538.406,71.800003,55.369999,15.11,17.049999,20002.465,17.521538,9.6323767,2.345015,6.3556361,College 1,Education
1,0,4,25,59856.48,68.940002,50.529999,15.65,16.049999,13447.604,17.632591,10.697238,.85045314,6.6808519,College 1,Education
1,1,4,35,80471.977,84.739998,53.32,14.83,14.56,21974.383,15.234589,15.405409,2.9220495,7.9307985,College 1,Education
0,0,0,166,67840.273,76.860001,51.889999,14.98,13.52,19625.414,15.983555,11.981179,2.2189746,7.6516118,College 1,Information Tech
0,1,0,313,73243.852,81.849998,58.040001,15.49,15.58,19443.137,17.370686,14.829355,1.7054964,7.1981797,College 1,Information Tech
1,0,0,165,73942.219,77.699997,57.27,15.38,14.67,18688.229,19.212811,14.043427,1.8938568,7.2100067,College 1,Information Tech
1,1,0,303,82431.039,84.739998,63.580002,15.48,15.14,19895.09,18.423912,15.861403,1.927789,7.6741433,College 1,Information Tech
0,0,1,87,60425.199,68.639999,46.150002,14.43,14.33,19445.727,15.075978,9.4283342,2.5231655,6.6726398,College 1,Information Tech
0,1,1,156,70116.109,79.419998,54.66,15.22,15.08,19617.479,15.930771,13.578089,1.7854289,7.3632541,College 1,Information Tech
1,0,1,102,65172.25,75.730003,52,14.63,14.33,19432.66,17.360287,13.855989,2.6024497,6.887825,College 1,Information Tech
1,1,1,152,73893.797,83.279999,58.279999,15.24,14.69,19842.578,17.995579,15.65946,2.2266028,7.481431,College 1,Information Tech
0,0,2,35,52966.68,65.360001,44.950001,14.5,14.2,20751.416,10.872099,7.5871949,1.8671478,6.4721184,College 1,Information Tech
0,1,2,56,70739.578,79.010002,54.330002,14.92,15.94,19295.488,17.581953,13.879844,2.1535451,6.5186539,College 1,Information Tech
1,0,2,33,64112.852,78.110001,53.130001,15.42,15.34,20741.055,12.175082,9.8864212,1.1480954,6.6615825,College 1,Information Tech
1,1,2,54,70491.242,80.93,59,14.83,13.03,20105.398,19.142981,14.825207,3.3722627,8.4497232,College 1,Information Tech
0,0,3,38,62641.859,65.050003,45.549999,13.78,13.68,17528.521,13.677559,6.9274759,3.0311291,7.4124727,College 1,Information Tech
0,1,3,67,69539.078,78.540001,51.220001,15.27,15.83,18195.441,16.33507,14.32989,2.0905066,6.7918277,College 1,Information Tech
1,0,3,35,63531.078,73.730003,49.130001,15.22,14.16,18983.105,15.726657,9.9822235,1.7013026,7.6889291,College 1,Information Tech
1,1,3,60,71781.07,78.349998,55.959999,15.71,14.69,17620.211,20.299456,15.648557,.82996255,7.2881227,College 1,Information Tech
0,0,4,25,63564.969,69.120003,46.709999,13.55,15.87,18352.742,12.685024,8.5934448,2.9303224,6.3070803,College 1,Information Tech
0,1,4,42,67968.773,75.980003,53.669998,15.01,15.76,18927.908,15.962941,10.622493,2.2124639,7.0639362,College 1,Information Tech
1,0,4,25,57817.43,72.019997,49.73,15.88,13.82,23191.174,12.729861,9.3814144,.43550622,7.8633499,College 1,Information Tech
1,1,4,37,74365.25,82.550003,58.950001,15.69,14.47,22228.061,16.974304,15.634491,1.0756091,7.7616096,College 1,Information Tech
0,0,0,173,69921.867,78.779999,53.939999,14.91,14.51,20774.564,16.727409,14.908819,2.3339603,7.3755174,College 1,Liberal Arts
0,1,0,273,78611.523,82.75,61.130001,15.4,14.7,20929.492,18.137011,17.02327,1.9089007,7.8699818,College 1,Liberal Arts
1,0,0,182,74884.781,82.510002,60.389999,15.47,14.46,20667.021,18.641829,15.601216,1.8188293,7.6665106,College 1,Liberal Arts
1,1,0,315,82614.117,86.300003,63.279999,15.57,15.1,20857.061,15.589648,18.440058,1.769181,7.6898785,College 1,Liberal Arts
0,0,1,84,61280.109,69.949997,47.040001,14.22,15.39,23234.631,14.635585,9.5298853,2.5947211,6.6979032,College 1,Liberal Arts
0,1,1,161,70621.156,81.629997,53.73,15.17,14.68,18983.555,15.99216,14.289824,2.004952,7.361258,College 1,Liberal Arts
1,0,1,71,68553.406,74.620003,54.919998,15.02,13.51,18856.629,19.33075,11.951024,2.1904817,7.8839903,College 1,Liberal Arts
1,1,1,162,79071.594,84.199997,61.889999,15.47,14.83,20214.498,17.694698,15.749367,2.0174916,7.8431554,College 1,Liberal Arts
0,0,2,33,59784.789,71.480003,46.810001,14.22,15.05,18173.041,15.422532,8.055232,2.7577314,6.7612553,College 1,Liberal Arts
0,1,2,57,66780.25,82.389999,50.200001,14.88,14.55,17491.643,14.317911,10.374959,2.4383826,7.1251016,College 1,Liberal Arts
1,0,2,29,57947.969,69.910004,51.889999,15.11,14.63,19753.895,16.780193,13.129169,1.5477401,7.0697575,College 1,Liberal Arts
1,1,2,62,76962.344,83.300003,57.720001,15.25,13.43,18823.023,17.012985,16.242823,1.8878744,8.7240648,College 1,Liberal Arts
0,0,3,40,63774.91,62.360001,46.84,13.56,13.18,22375.172,11.74242,9.8889847,2.678124,6.8385692,College 1,Liberal Arts
0,1,3,56,65094.141,78.330002,53.130001,15.13,14.02,18778.758,14.126531,13.631788,2.1246428,7.9165168,College 1,Liberal Arts
1,0,3,32,62761,79.120003,47.68,14.87,15.91,17930.107,12.115739,10.455963,2.6062429,6.2578902,College 1,Liberal Arts
1,1,3,49,75255.117,83.82,60.950001,15.35,14.73,20500.645,14.669531,16.190308,2.2927852,7.6707044,College 1,Liberal Arts
0,0,4,25,61144.34,67.550003,47.950001,13.77,13.64,20880.848,12.922679,7.0883102,2.4549253,5.8714948,College 1,Liberal Arts
0,1,4,34,68137.656,77.269997,53.75,15.13,15.27,20296.342,18.144171,14.547127,2.0288391,7.3194036,College 1,Liberal Arts
1,0,4,25,65238.371,70.93,51.93,15.56,15.09,23604.27,14.635839,9.7862291,1.0964442,6.7293243,College 1,Liberal Arts
1,1,4,28,75438.977,82.480003,55.48,15.99,12.1,16733.217,20.660765,21.811657,.072177872,8.7864513,College 1,Liberal Arts
0,0,0,176,71121.398,79.790001,56.599998,15.15,14.47,20373.494,18.810055,14.718031,2.210392,7.492681,College 1,Natural Sciences
0,1,0,297,81395.656,85.739998,63.41,15.26,14.88,19652.74,16.638494,16.229498,2.362179,7.7408862,College 1,Natural Sciences
1,0,0,166,80050.547,85.510002,59.98,15.15,15.7,19355.385,15.615374,18.374588,2.6666527,7.1513782,College 1,Natural Sciences
1,1,0,321,86606.797,88.470001,65.839996,15.56,15.16,20024.969,14.660833,16.405096,1.8710999,7.7170277,College 1,Natural Sciences
0,0,1,91,64892.371,73.68,49.540001,14.9,14.45,21584.848,14.300523,10.377364,1.9878608,6.7193007,College 1,Natural Sciences
0,1,1,142,68936.383,80.389999,56.77,14.97,14.57,20890.697,17.239388,15.009184,2.6923511,7.5583143,College 1,Natural Sciences
1,0,1,74,71576.117,78.529999,51.66,15.46,14.77,20154.76,18.924156,13.052663,1.3668946,7.0225348,College 1,Natural Sciences
1,1,1,165,78954.289,83.620003,60.630001,15.45,13.72,19083.125,18.27533,15.599257,2.1299496,8.2577963,College 1,Natural Sciences
0,0,2,30,65788.273,68.699997,47.419998,14.42,13.19,22767.273,13.568812,6.3716855,2.2719877,7.3483353,College 1,Natural Sciences
0,1,2,42,70464.617,78.720001,55.150002,15.54,14.67,19974.611,17.59651,13.652784,1.2666395,7.2838907,College 1,Natural Sciences
1,0,2,32,66395.797,82.959999,48.970001,14.08,13.66,19248.322,14.697287,10.712988,3.4364882,7.4144192,College 1,Natural Sciences
1,1,2,68,72057.281,83.419998,58.610001,15.32,14.56,21170.203,16.880739,15.289117,1.9660913,8.1781931,College 1,Natural Sciences
0,0,3,34,55606.27,70.790001,44.23,14.25,14.16,22335.172,11.719555,8.792552,2.1431041,7.181416,College 1,Natural Sciences
0,1,3,66,66413.727,76.379997,54.77,15.25,14.03,20541.51,16.059416,12.764299,1.9139414,8.093873,College 1,Natural Sciences
1,0,3,46,69688.273,77.25,52.23,14.81,14.42,20388.527,14.556634,9.579463,2.4147639,7.0807977,College 1,Natural Sciences
1,1,3,70,75784.703,84.459999,58.990002,15.46,15.49,22479.73,15.211613,14.68557,2.1199784,6.9748664,College 1,Natural Sciences
0,0,4,25,64708.148,70.279999,47.330002,13.1,15.24,19949.313,14.435863,8.7321577,2.4322395,6.3584728,College 1,Natural Sciences
0,1,4,39,70300.273,78.57,55.290001,15.22,15.86,18029.037,16.013271,13.350829,1.7504143,6.7387829,College 1,Natural Sciences
1,0,4,25,69643.18,75.389999,47.66,15.09,13.71,22704.346,15.311502,10.354532,1.7081846,7.221837,College 1,Natural Sciences
1,1,4,39,69004.68,81.699997,59.959999,15.38,14.42,18846.813,20.265356,13.828576,2.2756796,8.0332994,College 1,Natural Sciences
0,0,0,152,75202.383,83.629997,59.099998,15.32,15.51,20679.037,15.846913,17.08827,2.0476351,7.2892952,College 1,Nursing
0,1,0,279,83450.078,85.870003,64.330002,15.08,14.71,20792.744,16.053225,17.81686,2.8293536,7.8530784,College 1,Nursing
1,0,0,161,79279.859,85.379997,62.150002,15.51,14.5,19679.385,17.262796,15.916263,1.7962639,7.8101468,College 1,Nursing
1,1,0,303,89707.539,88.010002,66.25,15.46,14.86,22071.412,15.826263,17.547005,2.1442773,7.8183584,College 1,Nursing
0,0,1,87,64638.66,73.879997,52.32,14.89,14.49,18593.596,15.069445,10.250341,2.3256328,7.4704523,College 1,Nursing
0,1,1,165,73688.656,81.849998,58.68,15.03,14.6,19462.994,16.587255,15.014419,2.5873282,7.566196,College 1,Nursing
1,0,1,74,68671.953,78.029999,53.380001,14.91,13.91,19018.385,17.342363,15.835264,2.3286657,7.7762513,College 1,Nursing
1,1,1,164,81466.703,84.900002,62.169998,15.35,14.79,20912.574,16.691467,16.662155,2.0722837,7.6727958,College 1,Nursing
0,0,2,34,59895.91,64.989998,46.490002,14.24,11.91,20245.203,14.137715,9.7560387,2.8577995,8.0854912,College 1,Nursing
0,1,2,62,68118.156,79.699997,54.189999,15.46,13.81,18990.951,13.28801,13.645706,1.2155056,7.9578323,College 1,Nursing
1,0,2,27,66338.359,75.940002,54.07,14.38,15.25,18049.594,16.439152,12.402648,2.4058092,6.9032269,College 1,Nursing
1,1,2,66,74247.82,81.080002,61.23,15.34,14.44,20213.316,19.501236,14.81242,1.975365,7.7749619,College 1,Nursing
0,0,3,33,58248.52,69.440002,48.43,13.82,15.61,21220.35,14.125429,10.426752,3.0910099,6.7133389,College 1,Nursing
0,1,3,55,71425.711,80.190002,56.060001,15.39,15.31,21043.533,16.948458,14.066532,1.7053452,6.8912678,College 1,Nursing
1,0,3,30,62088.949,74.190002,54.34,15.37,15.09,17864.135,18.721991,13.986206,1.5008999,6.9695573,College 1,Nursing
1,1,3,58,75902.773,84.720001,59.48,15.63,14.29,18814.492,15.513028,16.935629,1.7367713,7.6810656,College 1,Nursing
0,0,4,25,62447.449,67.470001,45.349998,15.09,15.91,21421.275,14.526124,11.120998,1.4000896,7.1349092,College 1,Nursing
0,1,4,26,80856.992,77.489998,54.900002,15.37,14.91,19604.994,18.37735,12.213715,1.6934763,7.8919253,College 1,Nursing
1,0,4,25,69035.094,70.290001,43.630001,15.75,13.33,17410.705,18.96604,10.952494,1.0482404,7.92908,College 1,Nursing
1,1,4,27,74752.508,82.580002,59.84,15.3,13.37,20030.215,18.650927,17.271774,1.8584369,8.994071,College 1,Nursing
0,0,0,74,80426.18,82.080002,62.98,15.71,15.22,23846.26,19.905266,15.48575,1.6885637,7.6757908,College 1,Psychology
0,1,0,150,88916.438,88.550003,66.82,15.35,15.89,20974.713,14.037508,16.796984,2.1727674,7.0082154,College 1,Psychology
1,0,0,83,84657.711,88.029999,64.07,15.46,14.5,22184.662,14.548363,15.291181,1.9730992,7.7020426,College 1,Psychology
1,1,0,144,90480.219,88.919998,66.529999,15.28,16.129999,22200.266,16.763147,18.710886,2.3811598,7.2357235,College 1,Psychology
0,0,1,28,64893.961,76.150002,54.639999,14.66,14.42,16551.643,18.10928,10.730398,2.9642823,7.2843866,College 1,Psychology
0,1,1,80,75825.977,80.300003,60.689999,14.91,14.54,22570.424,17.761877,15.222752,2.4962013,7.7567534,College 1,Psychology
1,0,1,44,70721,82.279999,54.790001,15.08,14.88,20187.727,18.225439,14.062441,2.6199367,7.7211456,College 1,Psychology
1,1,1,90,82226.797,87.959999,63.279999,15.29,14.58,21927.875,14.131521,17.128376,2.5277822,8.2420483,College 1,Psychology
0,0,2,25,64630.238,65.940002,50.48,14.59,14.61,20269.529,11.81215,10.601964,2.2095294,6.4883065,College 1,Psychology
0,1,2,41,77173.148,77.900002,54.540001,15.22,13.13,23119.217,17.158083,13.459485,2.4338753,7.5762558,College 1,Psychology
1,0,2,25,62318.609,75.949997,57.630001,15.05,12.62,19919.752,20.426758,12.68328,1.6635488,8.6871176,College 1,Psychology
1,1,2,32,80430.422,83.389999,57.580002,14.81,16.120001,16622.551,16.388918,17.236599,3.0277567,7.5187879,College 1,Psychology
0,0,3,25,59992.461,76.199997,46.799999,14.7,14.73,15939.687,10.771133,8.5703964,2.1627157,5.7720294,College 1,Psychology
0,1,3,33,68242.813,78.300003,55.23,15.23,13.57,19200.959,20.355753,13.962412,1.943909,8.2739449,College 1,Psychology
1,0,3,25,70234.133,68.019997,54.259998,14.94,16.360001,15883.144,19.467249,9.8586788,2.8835635,6.4613471,College 1,Psychology
1,1,3,38,79529.023,85.209999,59.02,15.52,16.93,19772.182,16.836794,15.003916,1.4561222,6.3477859,College 1,Psychology
0,0,4,25,55667.238,76.449997,48.220001,12.58,16.610001,16516.24,9.4011488,6.3471546,2.8458531,6.9790339,College 1,Psychology
0,1,4,25,72755.547,72.93,56.07,15.48,12.96,21815.441,17.730165,13.12816,1.998057,8.4635267,College 1,Psychology
1,0,4,25,68536.523,74.57,42.119999,15.81,14.54,24137.473,16.250896,11.556075,.60399652,6.5595584,College 1,Psychology
1,1,4,25,82613.297,85.160004,51.470001,15.13,14.41,22390.721,16.903807,18.565817,2.0948272,8.338521,College 1,Psychology
0,0,0,171,57591.09,58.009998,40.110001,11.66,12.83,20066.484,11.220829,5.9236026,2.6484339,4.9002624,College 2,Automotive Tech
0,1,0,306,63498.609,72.949997,49.759998,14.86,15.03,21251.885,16.463409,11.654246,2.1631868,6.619524,College 2,Automotive Tech
1,0,0,164,61265.969,69.480003,46.549999,13.97,14.58,22358.525,14.575674,8.7619991,2.6481109,6.5661502,College 2,Automotive Tech
1,1,0,301,70081.703,82.150002,54.110001,15,14.21,20014.559,14.906668,13.488106,2.3378344,7.4877467,College 2,Automotive Tech
0,0,1,85,54346.109,63.450001,41.830002,12.6,13.6,18645.531,13.940372,6.8396068,2.5970082,5.4235606,College 2,Automotive Tech
0,1,1,146,67037.352,71.980003,50.169998,14.97,14.63,19707.98,14.69172,11.412827,1.8462861,7.1269202,College 2,Automotive Tech
1,0,1,89,55380.422,68.400002,44.77,14.39,14.43,19311.332,13.05114,9.9528933,2.3166263,6.9955688,College 2,Automotive Tech
1,1,1,180,69059.906,79.440002,54.029999,14.78,15.43,19749.063,17.440786,14.285419,2.7069921,6.946804,College 2,Automotive Tech
0,0,2,30,60400.41,60.66,45.970001,14.03,13.08,20135.316,13.041616,6.8043575,2.4176576,6.2331429,College 2,Automotive Tech
0,1,2,62,68909.383,76.559998,50.470001,14.76,16.129999,23045.182,16.407814,10.025872,2.1841621,6.2159591,College 2,Automotive Tech
1,0,2,41,62114.73,71.860001,47.150002,14.48,16.290001,18696.15,15.735017,10.409641,2.44418,5.9672747,College 2,Automotive Tech
1,1,2,58,73681.797,78.360001,51.330002,15.11,13.65,21431.711,16.090227,15.331772,2.1288245,8.1047688,College 2,Automotive Tech
0,0,3,40,61990.441,70.940002,44.029999,15.03,13.4,18145.324,15.435642,9.4248199,2.0936847,7.5205851,College 2,Automotive Tech
0,1,3,61,66862.461,72.419998,52.529999,15.22,12.92,18067.98,17.777954,12.109279,1.7974719,7.8628941,College 2,Automotive Tech
1,0,3,25,58112.809,73.010002,49.400002,14.92,12.39,24981.998,15.301439,12.08293,1.9083411,7.836844,College 2,Automotive Tech
1,1,3,58,73761.273,82.160004,56.139999,15.61,14.27,22448.734,15.032074,14.2649,1.3962153,7.987361,College 2,Automotive Tech
0,0,4,25,67230.656,71.339996,48.09,15.56,16.1,21717.445,21.117399,13.229321,1.2370913,5.5435004,College 2,Automotive Tech
0,1,4,44,70497.789,78.339996,56.919998,14.99,16.82,19728.461,17.460154,15.254467,2.7514801,5.7754831,College 2,Automotive Tech
1,0,4,25,69547.883,82.809998,52.330002,14.13,16.09,18335.498,11.698828,13.448691,3.3765998,6.583889,College 2,Automotive Tech
1,1,4,40,78648.953,86.400002,58.939999,15.44,14.7,22487.654,16.425669,13.148187,1.9262431,7.7194257,College 2,Automotive Tech
0,0,0,344,56620.121,64.82,43.299999,13.13,14.19,19449.766,12.653532,7.7775722,2.7452464,6.0862513,College 2,Business
0,1,0,558,68196.727,75.849998,51.580002,14.92,15.13,19620.58,16.569771,13.159505,2.4179878,6.9202647,College 2,Business
1,0,0,323,62694,75.389999,48.380001,14.88,14.4,19394.521,15.839365,11.42795,2.1166801,7.0561037,College 2,Business
1,1,0,601,74810.703,82.769997,57.43,15.22,15.17,20689.338,16.89028,14.903126,2.3382423,7.2232957,College 2,Business
0,0,1,150,57233.789,63.610001,42.75,12.82,13.8,20941.936,11.182478,6.491961,2.7272527,5.6313553,College 2,Business
0,1,1,302,65345.691,74.800003,50.66,14.7,14.31,20095.514,16.66222,10.699952,2.4900212,7.2390623,College 2,Business
1,0,1,174,63920.43,70.900002,48.150002,14.32,15.05,19704.508,13.917582,9.3759613,2.5741768,6.3520684,College 2,Business
1,1,1,311,70308.008,82.32,55.509998,15.12,14.71,21653.355,14.257353,14.980992,2.1445897,7.455039,College 2,Business
0,0,2,67,61268.93,63.889999,43.889999,13.02,12.61,18240.076,13.646457,8.6229925,3.0237188,5.7442322,College 2,Business
0,1,2,113,64908.211,76.360001,49.200001,15.03,15.42,19179.766,15.923278,11.928926,2.2914345,6.8226142,College 2,Business
1,0,2,63,59664.922,68.459999,47.389999,14.79,14.88,17422.393,15.179528,10.06051,1.8906726,6.7275553,College 2,Business
1,1,2,119,71835.477,80.900002,57.16,14.9,14.78,20042.756,16.561628,12.901625,2.6357408,7.4111032,College 2,Business
0,0,3,75,60716.461,67.050003,44.220001,13.72,14.93,18543.373,11.479926,8.4736128,2.7501292,5.7681351,College 2,Business
0,1,3,118,62845.949,74.220001,51,15.14,15.49,21042.188,17.578701,12.306579,1.9648972,6.5424886,College 2,Business
1,0,3,80,68580.172,69.93,48.970001,14.33,15.34,21569.727,14.308531,8.2681885,2.5194333,6.7113132,College 2,Business
1,1,3,130,72084.898,80.599998,56.52,14.95,15.39,21399.51,16.193434,14.547145,2.5121472,7.129293,College 2,Business
0,0,4,27,65942.852,72.849998,44.98,14.62,16.5,13277.275,12.443568,7.4029922,2.4257169,5.1699471,College 2,Business
0,1,4,64,65681.508,77.199997,52.419998,15.34,15.31,21456.936,17.264816,12.32949,1.7480528,7.2043839,College 2,Business
1,0,4,25,63689.801,71.980003,54.18,14.79,12.41,18343.229,14.663747,14.310511,2.7369318,7.2324705,College 2,Business
1,1,4,47,72829.813,81.580002,57.349998,15.62,15.5,21101.777,19.813524,13.99016,1.1836936,6.6691203,College 2,Business
0,0,0,337,67814.961,77.110001,52.41,15.11,15.02,20935.168,16.569609,12.202746,2.2110429,7.0786142,College 2,Education
0,1,0,625,77147.539,82.940002,60.880001,15.43,14.93,19128.525,17.797203,15.64802,1.9500173,7.4956379,College 2,Education
1,0,0,358,72882.844,81.730003,58.34,15.25,14.59,19213.76,17.160622,14.75296,2.0186679,7.4418182,College 2,Education
1,1,0,637,82852.711,85.510002,63.790001,15.6,14.96,21831.67,17.047497,17.198475,1.6686994,7.7354498,College 2,Education
0,0,1,167,65457.82,72.769997,48.830002,14.54,14.7,17460.088,15.916951,11.479724,2.6162727,6.8035359,College 2,Education
0,1,1,287,73390.672,82.730003,57.27,15.03,14.78,20142.166,16.473242,16.146318,2.3641298,7.3438048,College 2,Education
1,0,1,192,71194.844,78.760002,54.959999,15.08,14.39,20690.9,16.74474,13.578062,2.3015885,7.6380458,College 2,Education
